,lat,lon,months_open,num_items_sold,state_pop
356,32.280896,-83.475289,1,11,10097343.0
357,32.2815,-83.4737,12,0,10097343.0
358,32.285614,-110.942889,8,24,6731484.0
359,32.28843,-110.953409,8,21,6731484.0
360,32.296873,-106.772518,3,2,2085572.0
361,32.302899,-90.176134,6,17,2994079.0
362,32.303101,-90.176081,11,22,2994079.0
363,32.310136,-106.778792,12,20,2085572.0
364,32.319209,-111.009413,12,11,6731484.0
365,32.327575,-96.628311,7,14,26956958.0
366,32.339662,-90.330586,3,12,2994079.0
367,32.339893,-97.407713,7,16,26956958.0
368,32.344227,-95.324795,3,11,26956958.0
369,32.352739,-90.881717,3,9,2994079.0
370,32.359808,-86.164634,4,17,4849377.0
371,32.367615,-90.192756,3,6,2994079.0
372,32.372631,-112.862288,6,19,6731484.0
373,32.383265,-96.850103,7,18,26956958.0
374,32.404223,-87.039345,6,8,4849377.0
375,32.406007,-110.950394,4,18,6731484.0
376,32.420235,-104.228454,4,6,2085572.0
377,32.425706,-85.693445,6,7,4849377.0
378,32.433759,-80.679578,6,3,4832482.0
379,32.443907,-93.974454,3,16,4649676.0
380,32.448625,-81.782923,8,16,10097343.0
381,32.45092,-111.212487,12,8,6731484.0
382,32.46025,-83.731889,5,7,10097343.0
383,32.461809,-90.115364,5,11,2994079.0
384,32.46654,-84.993217,8,14,10097343.0
385,32.4693,-86.4523,3,6,4849377.0
386,32.4941,-94.740886,9,16,26956958.0
387,32.509449,-92.10813,4,3,4649676.0
388,32.513164,-93.744428,3,24,4649676.0
389,32.529214,-92.635542,9,18,4649676.0
390,32.533809,-93.515691,3,9,4649676.0
391,32.535992,-85.894695,3,10,4849377.0
392,32.550925,-90.216589,6,15,2994079.0
393,32.555569,-93.609141,2,11,4649676.0
394,32.564588,-97.134052,7,17,26956958.0
395,32.579555,-117.131973,6,14,38802500.0
396,32.618882,-83.61042,12,21,10097343.0
397,32.62481,-83.686354,1,6,10097343.0
398,32.638327,-87.301183,4,1,4849377.0
399,32.662165,-95.489641,6,17,26956958.0
400,32.67585,-115.487132,6,11,38802500.0
401,32.69486,-93.737025,3,22,4649676.0
402,32.697827,-117.167736,12,10,38802500.0
403,32.699164,-87.579575,4,4,4849377.0
404,32.706662,-117.09361,12,11,38802500.0
405,32.715,-117.162,8,9,38802500.0
406,32.716447,-97.442048,12,18,26956958.0
407,32.717923,-117.134551,12,18,38802500.0
408,32.721931,-117.167558,12,24,38802500.0
409,32.722618,-117.168347,12,19,38802500.0
410,32.722979,-117.168261,12,23,38802500.0
411,32.723233,-80.078495,12,22,4832482.0
412,32.737817,-97.104737,12,10,26956958.0
413,32.741786,-97.362428,7,13,26956958.0
414,32.745823,-97.004543,10,27,26956958.0
415,32.74619,-117.25016,12,18,38802500.0
416,32.747343,-117.130055,12,21,38802500.0
417,32.747831,-117.101521,12,15,38802500.0
418,32.747861,-96.4694,9,14,26956958.0
419,32.750603,-117.149244,12,27,38802500.0
420,32.767141,-117.022129,12,17,38802500.0
421,32.773106,-108.275568,6,18,2085572.0
422,32.777649,-96.789378,12,22,26956958.0
423,32.785138,-117.170726,12,15,38802500.0
424,32.786867,-79.93569,8,27,4832482.0
425,32.789321,-79.987776,7,21,4832482.0
