,state,lon,lat,months_open,num_items_sold,state_pop,name
253,Florida,30.464775,-84.287205,12.0,15.0,19893297.0,
254,Texas,30.469242,-97.806344,12.0,24.0,26956958.0,
255,Louisiana,30.479322,-90.038913,12.0,18.0,4649676.0,
256,Louisiana,30.481312,-92.694897,9.0,14.0,4649676.0,
257,Louisiana,30.515238,-91.155456,6.0,6.0,4649676.0,
258,Alabama,30.524435,-87.901975,3.0,13.0,4849377.0,
259,Florida,30.537101,-84.214843,12.0,7.0,19893297.0,
260,Texas,30.543434,-97.550922,10.0,16.0,26956958.0,
261,Florida,30.546388,-83.869492,10.0,16.0,19893297.0,
262,Texas,30.557445,-97.687978,12.0,19.0,26956958.0,
263,Texas,30.561622,-97.68575,12.0,12.0,26956958.0,
264,Texas,30.561622,-97.68575,12.0,12.0,26956958.0,
265,Florida,30.579786,-81.454531,12.0,15.0,19893297.0,
266,Florida,30.594183,-87.309144,6.0,14.0,19893297.0,
267,Florida,30.603977,-87.183559,12.0,17.0,19893297.0,
268,Louisiana,30.620565,-92.765978,12.0,10.0,4649676.0,
269,Texas,30.630276,-97.693631,12.0,13.0,26956958.0,
270,Texas,30.639167,-97.678083,12.0,11.0,26956958.0,
271,Alabama,30.6609,-88.0961,3.0,2.0,4849377.0,
272,Florida,30.671008,-81.459582,12.0,23.0,19893297.0,
273,Louisiana,30.687975,-92.271516,6.0,6.0,4649676.0,
274,Alabama,30.689057,-88.174004,3.0,0.0,4849377.0,
275,Texas,30.723087,-95.550467,3.0,12.0,26956958.0,
276,Florida,30.775235,-85.225285,5.0,13.0,19893297.0,
277,Louisiana,30.788032,-91.379436,12.0,7.0,4649676.0,
278,Florida,30.798683,-86.701281,12.0,19.0,19893297.0,
279,Georgia,30.8138,-83.2644,12.0,10.0,10097343.0,
280,Georgia,30.832295,-83.279103,6.0,15.0,10097343.0,
281,Georgia,30.8355,-83.9714,12.0,8.0,10097343.0,
282,Georgia,30.907397,-84.575521,3.0,15.0,10097343.0,
283,Texas,30.911375,-93.995247,7.0,13.0,26956958.0,
284,Louisiana,31.035239,-91.979567,6.0,12.0,4649676.0,
285,Louisiana,31.065162,-92.044134,12.0,11.0,4649676.0,
286,Texas,31.0708,-98.185,12.0,0.0,26956958.0,
287,Texas,31.072721,-97.683103,6.0,16.0,26956958.0,
288,Mississippi,31.114568,-90.141028,7.0,17.0,2994079.0,
289,Louisiana,31.12706,-92.06615,1.0,14.0,4649676.0,
290,Alabama,31.194503,-85.374928,3.0,5.0,4849377.0,
291,Georgia,31.206709,-83.245211,9.0,13.0,10097343.0,
292,Alabama,31.223592,-85.390463,2.0,15.0,4849377.0,
293,Alabama,31.232252,-85.449944,3.0,8.0,4849377.0,
294,Louisiana,31.23258,-92.424126,12.0,25.0,4649676.0,
